Id	Pathway	Gene
hsa00051	Fructose and mannose metabolism	57016
hsa00051	Fructose and mannose metabolism	57103
hsa00051	Fructose and mannose metabolism	6652
hsa00051	Fructose and mannose metabolism	7167
hsa00051	Fructose and mannose metabolism	7264
hsa00051	Fructose and mannose metabolism	80201
hsa00051	Fructose and mannose metabolism	8789
hsa00051	Fructose and mannose metabolism	8790
hsa00052	Galactose metabolism	130589
hsa00052	Galactose metabolism	231
hsa00052	Galactose metabolism	2538
hsa00052	Galactose metabolism	2548
hsa00052	Galactose metabolism	2582
hsa00052	Galactose metabolism	2584
hsa00052	Galactose metabolism	2592
hsa00052	Galactose metabolism	2595
hsa00052	Galactose metabolism	2645
hsa00052	Galactose metabolism	2683
hsa00052	Galactose metabolism	2717
hsa00052	Galactose metabolism	2720
hsa00052	Galactose metabolism	3098
hsa00052	Galactose metabolism	3099
hsa00052	Galactose metabolism	3101
hsa00052	Galactose metabolism	3906
hsa00052	Galactose metabolism	3938
hsa00052	Galactose metabolism	5211
hsa00052	Galactose metabolism	5213
hsa00052	Galactose metabolism	5214
hsa00052	Galactose metabolism	5236
hsa00052	Galactose metabolism	55276
hsa00052	Galactose metabolism	57016
hsa00052	Galactose metabolism	57818
hsa00052	Galactose metabolism	6476
hsa00052	Galactose metabolism	7360
hsa00052	Galactose metabolism	80201
hsa00052	Galactose metabolism	8704
hsa00052	Galactose metabolism	8972
hsa00052	Galactose metabolism	92579
hsa00052	Galactose metabolism	93432
hsa00053	Ascorbate and aldarate metabolism	10327
hsa00053	Ascorbate and aldarate metabolism	10720
hsa00053	Ascorbate and aldarate metabolism	10941
hsa00053	Ascorbate and aldarate metabolism	217
hsa00053	Ascorbate and aldarate metabolism	219
hsa00053	Ascorbate and aldarate metabolism	223
hsa00053	Ascorbate and aldarate metabolism	224
hsa00053	Ascorbate and aldarate metabolism	2990
hsa00053	Ascorbate and aldarate metabolism	501
hsa00053	Ascorbate and aldarate metabolism	54490
hsa00053	Ascorbate and aldarate metabolism	54575
hsa00053	Ascorbate and aldarate metabolism	54576
hsa00053	Ascorbate and aldarate metabolism	54577
hsa00053	Ascorbate and aldarate metabolism	54578
hsa00053	Ascorbate and aldarate metabolism	54579
hsa00053	Ascorbate and aldarate metabolism	54600
hsa00053	Ascorbate and aldarate metabolism	54657
hsa00053	Ascorbate and aldarate metabolism	54658
hsa00053	Ascorbate and aldarate metabolism	54659
hsa00053	Ascorbate and aldarate metabolism	55586
hsa00053	Ascorbate and aldarate metabolism	574537
hsa00053	Ascorbate and aldarate metabolism	7358
hsa00053	Ascorbate and aldarate metabolism	7363
hsa00053	Ascorbate and aldarate metabolism	7364
hsa00053	Ascorbate and aldarate metabolism	7365
hsa00053	Ascorbate and aldarate metabolism	7366
hsa00053	Ascorbate and aldarate metabolism	7367
hsa00053	Ascorbate and aldarate metabolism	79799
hsa00053	Ascorbate and aldarate metabolism	9104
hsa00053	Ascorbate and aldarate metabolism	9365
hsa00061	Fatty acid biosynthesis	109703458
hsa00061	Fatty acid biosynthesis	197322
hsa00061	Fatty acid biosynthesis	2180
hsa00061	Fatty acid biosynthesis	2181
hsa00061	Fatty acid biosynthesis	2182
hsa00061	Fatty acid biosynthesis	2194
hsa00061	Fatty acid biosynthesis	23205
hsa00061	Fatty acid biosynthesis	23305
hsa00061	Fatty acid biosynthesis	27349
hsa00061	Fatty acid biosynthesis	31
hsa00061	Fatty acid biosynthesis	32
hsa00061	Fatty acid biosynthesis	51102
hsa00061	Fatty acid biosynthesis	51703
hsa00061	Fatty acid biosynthesis	54995
hsa00061	Fatty acid biosynthesis	55301
hsa00061	Fatty acid biosynthesis	7923
hsa00061	Fatty acid biosynthesis	81616
hsa00061	Fatty acid biosynthesis	84869
hsa00062	Fatty acid elongation	10449
hsa00062	Fatty acid elongation	10965
hsa00062	Fatty acid elongation	11332
hsa00062	Fatty acid elongation	117145
hsa00062	Fatty acid elongation	122970
hsa00062	Fatty acid elongation	1892
hsa00062	Fatty acid elongation	201562
hsa00062	Fatty acid elongation	284486
hsa00062	Fatty acid elongation	3030
hsa00062	Fatty acid elongation	3032
hsa00062	Fatty acid elongation	3033
hsa00062	Fatty acid elongation	401494
hsa00062	Fatty acid elongation	51102
hsa00062	Fatty acid elongation	51144
hsa00062	Fatty acid elongation	51495
hsa00062	Fatty acid elongation	54898
hsa00062	Fatty acid elongation	5538
hsa00062	Fatty acid elongation	60481
hsa00062	Fatty acid elongation	641371
hsa00062	Fatty acid elongation	64834
hsa00062	Fatty acid elongation	6785
hsa00062	Fatty acid elongation	79071
hsa00062	Fatty acid elongation	79993
hsa00062	Fatty acid elongation	83401
hsa00062	Fatty acid elongation	9200
hsa00062	Fatty acid elongation	9374
hsa00062	Fatty acid elongation	9524
hsa00071	Fatty acid degradation	10449
hsa00071	Fatty acid degradation	10455
hsa00071	Fatty acid degradation	113612
hsa00071	Fatty acid degradation	124
hsa00071	Fatty acid degradation	125
hsa00071	Fatty acid degradation	126
hsa00071	Fatty acid degradation	126129
hsa00071	Fatty acid degradation	127
hsa00071	Fatty acid degradation	128
hsa00071	Fatty acid degradation	130
hsa00071	Fatty acid degradation	131
hsa00071	Fatty acid degradation	1374
hsa00071	Fatty acid degradation	1375
hsa00071	Fatty acid degradation	1376
hsa00071	Fatty acid degradation	1632
hsa00071	Fatty acid degradation	1892
hsa00071	Fatty acid degradation	1962
hsa00071	Fatty acid degradation	217
hsa00071	Fatty acid degradation	2180
hsa00071	Fatty acid degradation	2181
hsa00071	Fatty acid degradation	2182
hsa00071	Fatty acid degradation	219
hsa00071	Fatty acid degradation	223
hsa00071	Fatty acid degradation	224
hsa00071	Fatty acid degradation	23205
hsa00071	Fatty acid degradation	23305
hsa00071	Fatty acid degradation	2639
hsa00071	Fatty acid degradation	30
hsa00071	Fatty acid degradation	3030
hsa00071	Fatty acid degradation	3032
hsa00071	Fatty acid degradation	3033
hsa00071	Fatty acid degradation	33
hsa00071	Fatty acid degradation	34
hsa00071	Fatty acid degradation	35
hsa00071	Fatty acid degradation	36
hsa00071	Fatty acid degradation	37
hsa00071	Fatty acid degradation	38
hsa00071	Fatty acid degradation	39
hsa00071	Fatty acid degradation	501
hsa00071	Fatty acid degradation	51
hsa00071	Fatty acid degradation	51703
hsa00071	Fatty acid degradation	81616
hsa00071	Fatty acid degradation	8310
hsa00100	Steroid biosynthesis	1056
hsa00100	Steroid biosynthesis	10682
hsa00100	Steroid biosynthesis	120227
hsa00100	Steroid biosynthesis	1591
hsa00100	Steroid biosynthesis	1594
hsa00100	Steroid biosynthesis	1595
hsa00100	Steroid biosynthesis	1717
hsa00100	Steroid biosynthesis	1718
hsa00100	Steroid biosynthesis	2222
hsa00100	Steroid biosynthesis	3930
hsa00100	Steroid biosynthesis	3988
hsa00100	Steroid biosynthesis	4047
hsa00100	Steroid biosynthesis	50814
hsa00100	Steroid biosynthesis	51478
hsa00100	Steroid biosynthesis	6307
hsa00100	Steroid biosynthesis	6309
hsa00100	Steroid biosynthesis	6646
hsa00100	Steroid biosynthesis	6713
hsa00100	Steroid biosynthesis	7108
hsa00100	Steroid biosynthesis	8435
hsa00120	Primary bile acid biosynthesis	10005
hsa00120	Primary bile acid biosynthesis	10858
hsa00120	Primary bile acid biosynthesis	10998
hsa00120	Primary bile acid biosynthesis	1109
hsa00120	Primary bile acid biosynthesis	1581
hsa00120	Primary bile acid biosynthesis	1582
hsa00120	Primary bile acid biosynthesis	1593
hsa00120	Primary bile acid biosynthesis	23600
hsa00120	Primary bile acid biosynthesis	3295
hsa00120	Primary bile acid biosynthesis	51302
hsa00120	Primary bile acid biosynthesis	570
hsa00120	Primary bile acid biosynthesis	6342
hsa00120	Primary bile acid biosynthesis	6718
hsa00120	Primary bile acid biosynthesis	80270
hsa00120	Primary bile acid biosynthesis	8309
hsa00120	Primary bile acid biosynthesis	9023
hsa00120	Primary bile acid biosynthesis	9420
